Sol	OT	Soltimer	timer	1952-07-07 00:00:00	None	Antall timer med sol i døgnet/måneden
Temperatur	TAM_K	Middeltemperatur beregnet med Køppens formel	ºC	2005-01-28 00:00:00	None	Middeltemperatur beregnet med Køppens formel
Fuktighet	MR	Blandingsforhold (mixing ratio)	gr/kg	1951-01-01 00:00:00	None	Forholdet mellom vanndampens og den tørre luftens tetthet
Temperatur	TAMRR	Middeltemperatur i nedbørdøgnet	ºC	1951-07-06 00:00:00	None	Døgnverdi: Aritmetisk middel av 24 timeverdier (evt formelbasert middelverdi) for kl 06-06 utc
Fuktighet	SH	Spesifikk luftfuktighet	gr/kg	1951-01-01 00:00:00	None	Spesifikk luftfuktighet
Vind	FXX	Kraftigste middelvind	m/s	1951-01-01 00:00:00	None	Døgnverdi: Høyeste verdi av høyeste timinutters middelvind (FX) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Høyeste verdi av døgn-FXX
Lufttrykk	POM	Midlere lufttrykk, stasjonsnivå	hPa	1951-01-01 00:00:00	None	Lufttrykk på stasjonen (QFE), middelverdi for perioden
Temperatur	TD	Duggpunktstemperatur	ºC	2005-07-01 00:00:00	None	Duggpunktstemperatur (den temperaturen lufta må avkjøles til før skydannelse (metning) inntreffer)
Temperatur	TAM	Middeltemperatur	ºC	1937-02-01 00:00:00	None	"Timeverdi: Aritmetisk middel av minuttverdier Døgnverdi: Aritmetisk middel av 24 timeverdier (kl 00-00), evt formelbasert middelverdi ut fra færre observasjoner (kl 18-18)Månedsverdi: Aritmetisk middel av døgn-TAM "
Temperatur	TAN	Minimumstemperatur	ºC	1937-01-01 00:00:00	None	Laveste registrerte temperatur i timen/døgnet (kl 18-18)/måneden
Temperatur	TAX	Maksimumstemperatur	ºC	1937-03-01 00:00:00	None	Høyeste registrerte temperatur i timen/døgnet (kl 18-18)/måneden
Snø	SD	Snødekke	kodetall	1937-03-02 00:00:00	None	Oppgis med kodetall 1 - 4: 1 - 3 betyr at deler av marka er snødekt, og 4 at området rundt stasjonen er helt snødekt. Kode = -1 betyr "ikke snø", presenterast som "."
Temperatur	TGN	Gressminimumstemperatur	ºC	1957-01-01 00:00:00	2006-12-31 00:00:00	Laveste registrerte temperatur i timen/døgnet/måneden, målt 10 cm over bakken
Vind	DD18	Vindretning kl. 18 UTC	grader	1938-01-01 00:00:00	None	Retning vinden kommer fra ved observasjon kl 18 utc
Vind	FXN	Laveste av høyeste middelvindverdier	m/s	1951-01-01 00:00:00	None	Døgnverdi: Laveste verdi av høyeste timinutters middelvind (FX) i sekstimersperiodene før kl 0, 6, 12 og 18 utc. Månedsverdi: Laveste verdi av døgn-FXN
