-999;MyLake model input data for Hakkloa from Hakkloa (NVE), Bjørnholt (met) and Blindern (met) stations, Last modified 2015-10-20;;;;;;;;;;;;;;;;
Year;Month;Day;Global_rad (MJ/m2);Cloud_cov (-);Air_temp (deg C);Relat_hum (%);Air_press (hPa);Wind_speed (m/s);Precipitation (mm/day);Inflow (m3/day);Inflow_T (deg C);Inflow_C;Inflow_S (kg/m3);Inflow_TP (mg/m3);Inflow_DOP (mg/m3);Inflow_Chla (mg/m3);Inflow_DOC (mg/m3)
2013;4;1;NaN;0.12;-2.4493877551;64.9726532857;1003.1;1.50204081633;0.2;1298.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;2;NaN;0.37;-3.01104166667;65.7547914167;1008.4;1.8125;0.0;0.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;3;NaN;0.58;-3.47020833333;71.33104175;1013.7;0.752083333333;0.3;1947.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;4;NaN;0.25;-0.602916666667;66.7237506458;1010.9;0.691666666667;0.0;0.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;5;NaN;0.53;-0.0733333333333;66.3074999583;1007.9;0.810416666667;0.0;0.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;6;NaN;0.66;-3.1575;68.0902084167;1001.0;1.75;0.0;0.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;7;NaN;0.37;-2.3525;55.99874975;1000.5;2.45;0.0;0.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;8;NaN;0.25;-4.47145833333;64.2908334583;1001.5;1.14375;0.0;0.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;9;NaN;0.28;-4.17666666667;66.3050002708;1002.3;0.764583333333;0.0;0.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;10;NaN;0.71;-3.87708333333;68.9593751875;1003.0;0.577083333333;0.0;0.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;11;NaN;0.91;-2.77395833333;89.1487500833;999.1;0.6875;0.2;1298.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;12;NaN;1.0;0.0797916666667;86.4293750208;993.6;1.15416666667;2.0;12980.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;13;NaN;0.83;0.680833333333;91.3574999375;996.8;1.59166666667;2.3;14927.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;14;NaN;1.0;-0.765833333333;98.8808334583;1006.2;2.19375;0.4;2596.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;15;NaN;1.0;4.00375;99.996041625;1001.0;2.5875;13.2;85668.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;16;NaN;1.0;3.30479166667;100.0;1000.3;1.825;1.9;12331.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;17;NaN;0.66;5.28666666667;78.2352083125;995.7;3.2;5.4;35046.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;18;NaN;1.0;4.07166666667;98.1983335417;983.9;3.36875;8.0;51920.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;19;NaN;0.78;2.89458333333;88.870624875;994.8;2.99583333333;4.5;29205.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;20;NaN;0.37;2.44458333333;59.4622920208;1015.4;1.325;3.5;22715.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;21;NaN;0.62;1.884375;79.4743752708;1010.5;2.0375;0.1;649.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;22;NaN;0.78;2.203125;82.6112502917;995.9;2.89166666667;0.3;1947.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;23;NaN;0.33;5.57375;65.3256251042;986.7;4.19791666667;0.1;649.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;24;NaN;0.53;5.52916666667;55.5549998958;996.7;3.38333333333;0.4;2596.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;25;NaN;0.78;5.30145833333;56.6368748333;1002.6;2.33541666667;0.0;0.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;26;NaN;0.53;2.59270833333;80.8914588333;994.4;1.58333333333;1.7;11033.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;27;NaN;0.46;2.92020833333;60.3831251458;996.8;1.20416666667;0.2;1298.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;28;NaN;0.96;0.998125;79.5904164792;994.3;2.43125;0.2;1298.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;29;NaN;0.91;2.424375;95.6664580208;987.9;2.49791666667;22.2;144078.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;4;30;NaN;0.37;4.9075;57.8991664792;996.6;2.95625;11.4;73986.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;5;1;NaN;0.66;2.595;64.7018747917;1008.4;2.14791666667;0.9;5841.0;0.0;0.5;0.01;44.0;7.0;0.1;3000.0
2013;5;2;NaN;0.21;3.174375;54.6637501875;1007.0;2.92083333333;0.2;1298.0;3.174375;0.5;0.01;44.0;7.0;0.1;3000.0
2013;5;3;NaN;0.96;2.42041666667;73.027708125;1003.5;2.2625;0.4;2596.0;2.42041666667;0.5;0.01;44.0;7.0;0.1;3000.0
2013;5;4;NaN;1.0;3.11541666667;95.9529163333;995.0;1.84375;0.7;4543.0;3.11541666667;0.5;0.01;44.0;7.0;0.1;3000.0
2013;5;5;NaN;0.25;6.81791666667;64.308124875;1002.8;1.98958333333;10.8;70092.0;6.81791666667;0.5;0.01;44.0;7.0;0.1;3000.0
2013;5;6;NaN;0.53;7.625625;83.1856250417;1007.7;1.95833333333;0.3;1947.0;7.625625;0.5;0.01;44.0;7.0;0.1;3000.0
2013;5;7;NaN;0.46;10.0352083125;78.5872917292;1008.2;1.50833333333;0.6;3894.0;10.0352083125;0.5;0.01;44.0;7.0;0.1;3000.0
2013;5;8;NaN;0.87;9.398333375;80.9997919375;1005.2;0.910416666667;0.2;1298.0;9.398333375;0.5;0.01;44.0;7.0;0.1;3000.0
2013;5;9;NaN;1.0;9.17645833333;99.7512501042;996.0;1.12916666667;14.7;95403.0;9.17645833333;0.5;0.01;44.0;7.0;0.1;3000.0
