################################# 2 ######################################
#WSYS github/Ice-modelling/rundataharvester.py
#OPER Ragnar Ekker
#RTIM 20151012/1351
#DCHA RR  [mm/day]          on Blindern 18700 from eklima.met.no
#DCHA TAM [C]     daily avg on Blindern 18700 from eklima.met.no
#DCHA NNM [%/100] daily avg on Blindern 18700 from eklima.met.no
##########################################################################
20000101/0000	       2.6	      -5.0	      0.91
20000102/0000	       6.0	      -0.8	      0.75
20000103/0000	      -1.0	       1.2	      0.71
20000104/0000	       0.0	       2.1	      0.16
20000105/0000	       0.0	      -0.7	       1.0
20000106/0000	       0.6	       5.3	       1.0
20000107/0000	       1.3	       3.8	      0.96
20000108/0000	       0.0	       5.5	       0.5
20000109/0000	      -1.0	       1.6	      0.12
20000110/0000	      -1.0	      -0.6	      0.58
20000111/0000	      -1.0	       1.6	      0.37
20000112/0000	      -1.0	       3.0	       1.0
20000113/0000	      -1.0	       1.5	      0.78
20000114/0000	      -1.0	      -0.5	      0.58
20000115/0000	      -1.0	      -3.7	       0.5
20000116/0000	       0.6	      -1.8	      0.58
20000117/0000	      -1.0	       7.7	      0.12
20000118/0000	      -1.0	       3.4	      0.03
20000119/0000	      -1.0	      -0.3	       0.5
20000120/0000	      -1.0	       1.3	      0.37
20000121/0000	       1.8	      -4.1	      0.53
20000122/0000	       4.6	      -5.3	       1.0
20000123/0000	       3.2	      -7.9	       0.5
20000124/0000	      -1.0	      -7.4	      0.96
20000125/0000	      -1.0	      -4.2	      0.75
20000126/0000	      -1.0	      -3.8	      0.78
20000127/0000	      -1.0	      -0.9	      0.96
20000128/0000	      -1.0	      -2.6	      0.71
20000129/0000	       4.6	       3.1	      0.87
20000130/0000	       2.5	       0.3	      0.41
20000131/0000	      -1.0	      -3.1	       0.5
20000201/0000	      -1.0	      -5.2	      0.71
20000202/0000	       3.1	      -2.9	      0.66
20000203/0000	      -1.0	      -3.1	      0.33
20000204/0000	      -1.0	       3.1	      0.83
20000205/0000	       0.0	       1.6	      0.91
20000206/0000	       0.0	       4.9	      0.66
20000207/0000	       1.4	       5.6	      0.83
20000208/0000	       0.1	       0.8	      0.37
20000209/0000	      -1.0	       0.7	      0.46
20000210/0000	      -1.0	       3.8	      0.83
20000211/0000	       0.1	       4.8	       0.5
20000212/0000	      -1.0	       3.9	       1.0
20000213/0000	      12.0	       0.8	       0.5
20000214/0000	      -1.0	      -0.8	      0.37
20000215/0000	       3.0	      -1.1	      0.96
20000216/0000	      -1.0	      -2.9	      0.37
20000217/0000	      -1.0	      -5.5	      0.41
20000218/0000	       0.0	      -4.7	      0.78
20000219/0000	      -1.0	      -7.5	      0.12
20000220/0000	      -1.0	      -4.2	      0.08
20000221/0000	      -1.0	      -4.4	      0.28
20000222/0000	       0.4	      -1.9	      0.96
20000223/0000	       0.0	      -3.0	      0.91
20000224/0000	       4.3	      -0.3	      0.78
20000225/0000	       8.3	      -3.2	      0.41
20000226/0000	      -1.0	      -1.1	      0.71
20000227/0000	      -1.0	       2.7	      0.96
20000228/0000	       0.5	       4.2	      0.87
20000229/0000	      -1.0	       2.9	      0.91
20000301/0000	       3.6	       2.9	      0.58
20000302/0000	      -1.0	       1.4	      0.46
20000303/0000	      12.6	      -0.2	      0.87
20000304/0000	      -1.0	      -0.2	      0.71
20000305/0000	      -1.0	      -1.8	      0.66
20000306/0000	       0.1	       5.9	      0.83
20000307/0000	       0.0	       5.2	      0.53
20000308/0000	      -1.0	      -0.9	       1.0
20000309/0000	       5.3	      -0.4	      0.28
20000310/0000	      -1.0	      -0.6	      0.75
20000311/0000	       3.5	       0.0	      0.41
20000312/0000	       0.2	      -0.9	      0.41
20000313/0000	      -1.0	       1.6	      0.91
20000314/0000	      -1.0	       2.4	      0.41
20000315/0000	      -1.0	       1.9	       0.5
20000316/0000	      -1.0	       0.1	      0.91
20000317/0000	       1.2	       0.5	       1.0
20000318/0000	       1.1	       4.0	      0.41
20000319/0000	      -1.0	       0.9	      0.96
20000320/0000	      -1.0	       8.5	      0.46
20000321/0000	      -1.0	       5.6	      0.58
20000322/0000	      -1.0	       3.1	      0.46
20000323/0000	      -1.0	       2.0	       0.5
20000324/0000	      -1.0	       1.9	      0.58
20000325/0000	      -1.0	       2.5	       1.0
20000326/0000	      -1.0	       3.5	      0.91
20000327/0000	       0.1	       1.7	      0.28
20000328/0000	      -1.0	       1.1	      0.28
20000329/0000	      -1.0	       3.2	      0.62
20000330/0000	      -1.0	       4.2	      0.12
20000331/0000	      -1.0	       2.7	      0.96
20000401/0000	       0.0	       3.9	      0.96
20000402/0000	       1.5	      -0.9	       1.0
20000403/0000	       4.6	      -1.2	       1.0
20000404/0000	      21.8	      -1.7	      0.96
20000405/0000	       6.5	       0.4	      0.12
20000406/0000	      -1.0	       1.9	      0.66
20000407/0000	      -1.0	       4.9	       0.5
20000408/0000	      -1.0	       3.7	      0.83
20000409/0000	      -1.0	       4.7	      0.21
20000410/0000	      -1.0	       5.5	      0.53
20000411/0000	      -1.0	       5.0	       1.0
20000412/0000	       1.3	       5.6	      0.66
20000413/0000	       1.1	       4.3	      0.96
20000414/0000	       1.9	       6.5	      0.87
20000415/0000	       4.3	       5.0	      0.78
20000416/0000	       6.1	       3.1	      0.96
20000417/0000	       7.9	       4.5	       1.0
20000418/0000	       4.9	       6.5	      0.83
20000419/0000	       0.7	       7.7	       1.0
20000420/0000	       0.0	       9.3	      0.83
20000421/0000	       0.9	       8.5	      0.96
20000422/0000	       5.7	       8.4	      0.87
20000423/0000	       3.6	       8.6	       1.0
20000424/0000	       1.0	       8.7	       1.0
20000425/0000	       0.2	      10.7	      0.41
20000426/0000	      -1.0	       9.6	      0.96
20000427/0000	       0.0	       8.8	      0.96
20000428/0000	       2.3	      12.4	      0.75
20000429/0000	       0.0	      17.9	      0.46
20000430/0000	      -1.0	      18.1	      0.58
20000501/0000	       2.3	      10.7	      0.91
20000502/0000	       6.0	       6.7	       1.0
20000503/0000	       6.6	      10.9	       0.5
20000504/0000	      -1.0	      11.0	      0.33
20000505/0000	      -1.0	      13.0	      0.46
20000506/0000	      -1.0	      13.5	      0.16
20000507/0000	      -1.0	      13.8	      0.21
20000508/0000	      -1.0	      16.5	      0.12
20000509/0000	      -1.0	      16.5	      0.16
20000510/0000	      -1.0	      15.8	       0.5
20000511/0000	      -1.0	      12.6	      0.62
20000512/0000	      -1.0	       9.4	      0.25
20000513/0000	      -1.0	      15.2	      0.25
20000514/0000	      -1.0	      16.1	      0.28
20000515/0000	      -1.0	      17.1	      0.12
20000516/0000	      -1.0	      16.4	      0.58
20000517/0000	      -1.0	      14.8	      0.87
20000518/0000	       2.9	      11.4	      0.75
20000519/0000	      -1.0	      11.5	      0.75
20000520/0000	       3.4	      12.1	      0.37
20000521/0000	      -1.0	      13.2	      0.28
20000522/0000	      -1.0	      11.7	      0.71
20000523/0000	      -1.0	      12.5	      0.66
20000524/0000	      16.0	      13.3	      0.83
20000525/0000	       4.8	      10.9	      0.83
20000526/0000	       9.5	      11.2	      0.66
20000527/0000	       9.7	       8.0	       1.0
20000528/0000	      12.4	      11.2	      0.75
20000529/0000	       6.6	       8.9	      0.96
20000530/0000	      11.6	       9.8	      0.91
20000531/0000	       2.5	      10.6	      0.46
20000601/0000	       1.4	      10.0	      0.62
20000602/0000	      11.9	      12.3	      0.66
20000603/0000	       0.5	      11.3	      0.16
20000604/0000	      -1.0	      10.8	      0.21
20000605/0000	      -1.0	      11.9	      0.46
20000606/0000	      -1.0	      13.3	      0.78
20000607/0000	      -1.0	      13.1	      0.87
