Temperatur	TAND	Laveste registrerte temperatur i timen/døgnet (kl 00-23)
Temperatur	TAXD	Høyeste registrerte temperatur i timen/døgnet (kl 00-23)
Temperatur	TA25	Lufttemperatur ved observasjonstida høyde=25m
Temperatur	TSN25	Snøtemperatur i °C, minimum  minuttverdi i timen dybde=25 cm
Temperatur	TSN75	Snøtemperatur i °C, minimum  minuttverdi i timen dybde=75 cm
Temperatur	TSN125	Snøtemperatur i °C, minimum  minuttverdi i timen dybde=125
Temperatur	TSN175	Snøtemperatur i °C, minimum  minuttverdi i timen dybde=175 cm
Temperatur	X1TAN	Minimumstemperatur sensor 1
Temperatur	X1TAN_12	Minimumstemperatur siste 12 timer sensor 1
Temperatur	X1TAX_12	Temperatur i ºC, maximum siste 24 timer sensor 1
Snø	SSXDT	Dato for maksimal snødybde
Temperatur	TAX_24	Maksimumstemperatur (24 timer)
Temperatur	TAM_K	Middeltemperatur beregnet med Køppens formel
Temperatur	TAMRR	Døgnverdi: Aritmetisk middel av 24 timeverdier (evt formelbasert middelverdi) for kl 06-06 utc
Temperatur	TAN_24	Temperatur i ºC, minimum minuttverdi siste 24 timer
Temperatur	TDX	Duggpunkttemperatur  i ºC, maksimum minuttverdi i timen
Temperatur	TAN_12	Laveste registrerte temperatur siste 12 timer
Temperatur	TRM	Temperatur i ºC, rullebane, timemiddel
Temperatur	TRN	Temperatur i ºC, rullebane, minimum minuttverdi i timen
Temperatur	TRX	Temperatur i ºC, rullebane, maksimum minuttverdi i timen
Temperatur	TSM	Snøtemperatur i °C, timemiddel
Temperatur	TSN	Snøtemperatur i °C, minimum  minuttverdi i timen
Temperatur	TSX	Snøtemperatur i °C, maksimum  minuttverdi i timen
Temperatur	TV	Temperatur fra sensor frest ned i veibanen
Temperatur	TVM	Temperatur fra sensor frest ned i veibanen, middel av siste times 60 minuttverdier
Temperatur	TVN	Temperatur fra sensor frest ned i veibanen, laveste verdi siste time
Temperatur	TVX	Temperatur fra sensor frest ned i veibanen, høyeste verdi siste time
Temperatur	TWM	Aritmetisk middel av sjøtemperaturen (TW) for hvert døgn
Temperatur	TWF	Temperatur nær vannoverflata (innsjø)
Temperatur	TAX_12	Høyeste registrerte temperatur siste 12 timer
Temperatur	TGN_12	Temperatur målt 10 cm over bakkenivå, laveste verdi siste tolv timer
Temperatur	TR	Temperatur i ºC, rullebane, nåverdi i 1 minutt
Temperatur	TAM12M	Midlere temperatur målt kl.13, norsk tid
Temperatur	TANDT	Dato for absolutt minimumstemperatur
Temperatur	TAXDT	Dato for maksimumstemperatur
Temperatur	TGNN	Månedens laveste gressminimumstemperatur
