################
#
#  Observed icecolumns on Otrøvannet winter 2011-2012
#  values given as [value; type]
#  Valid values are: date, water_line and all the ice types
#  Hashtags are omitted and ' ', \n and such are removed when reading the file
#
##################

2011-12-08; date

##################

2012-01-16; date
0.32; snow
0.01; slush
0.08; slush_ice
0.22; black_ice
0.29; water_line

##################

2012-02-15; date
0.09; snow
0.2;  slush_ice
0.04; slush
0.11; slush_ice
0.19; black_ice

################

2012-03-01; date
0;    snow
0.05; slush
0.33; slush_ice
0.22; black_ice

################

2012-03-13; date
0;    snow
0.48; slush_ice
0.2;  black_ice

################

2012-03-26; date
0;    snow
0.38; slush_ice
0.2;  black_ice

################

2012-04-11; date
0.05; snow
0.38; slush_ice
0.2;  black_ice

################

2012-04-26; date
0.05; snow
0.03; slush
0.39; slush_ice
0.2;  black_ice

################

2012-05-09; date
0.06; snow
0.05; slush_ice
0.02; slush
0.31; slush_ice
0.22; black_ice

###############

2012-05-22; date
0;    snow
0.05; slush_ice
0.08; slush
0.22; black_ice

###############
